Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
10,1,32.86,1.23833,-550.618,43016.5,70567.2,2051.03,359.935,175.876,0,-0.230408,0.0402832,0.96283,-0.655212,1.12823,-0.0634766
10,2,32.7264,1.78149,-550.972,42962,70379.6,1987.46,359.512,176.025,0,-0.229492,0.0439453,0.96344,-0.653992,1.12518,-0.0613403
10,3,32.4545,1.91562,-551.326,43083.4,70256.6,1978.3,359.207,175.855,0,-0.227661,0.0448608,0.96405,-0.655823,1.12305,-0.0610352
11,0,31.9173,2.14495,-551.332,43054.2,70067.9,1978.61,358.863,175.909,0,-0.223999,0.0463867,0.96405,-0.655212,1.11969,-0.0610352
11,1,30.9311,1.7878,-551.874,42999.6,69843.2,2015.74,358.331,176.084,0,-0.217285,0.0439453,0.964966,-0.654602,1.11542,-0.0622559
11,2,30.6171,1.51592,-552.757,43045.2,69627.1,2097.63,357.738,176.126,0,-0.215149,0.0421143,0.966492,-0.655518,1.11176,-0.0650024
11,3,29.9881,1.47153,-553.468,43100.5,69366.5,2125.16,357.106,176.126,0,-0.210876,0.0418091,0.967712,-0.656433,1.10718,-0.065918
12,0,29.3631,1.20264,-555.061,42894.6,69108.4,2198.45,356.281,176.721,0,-0.206604,0.039978,0.970459,-0.653381,1.1026,-0.0683594
12,1,28.7803,0.799054,-554.893,42954.4,68941,2217.14,356.017,176.59,0,-0.202637,0.0372314,0.970154,-0.654602,1.09955,-0.0689697
12,2,28.3312,0.709519,-555.25,43008.1,68768.7,2271.82,355.627,176.543,0,-0.199585,0.0366211,0.970764,-0.655518,1.0965,-0.0708008
12,3,28.0201,0.530379,-555.958,42999.5,68397,2326.63,354.801,176.657,0,-0.197449,0.0354004,0.971985,-0.655518,1.09039,-0.0726318
13,0,27.7053,0.0786408,-556.492,42979.8,68373.6,2308.87,354.64,176.767,0,-0.195312,0.0323486,0.9729,-0.655518,1.08978,-0.0720215
13,1,27.5737,-0.191559,-557.2,42986.7,67973.8,2300.15,353.767,176.852,0,-0.194397,0.0305176,0.974121,-0.655823,1.08337,-0.0717163
13,2,26.9007,-0.187879,-556.855,43006.2,67907.5,2354.97,353.723,176.77,0,-0.189819,0.0305176,0.973511,-0.656128,1.08185,-0.0735474
13,3,26.8112,-0.64132,-558.091,42928,67817.1,2346.2,353.291,177.081,0,-0.189209,0.0274658,0.975647,-0.655212,1.08032,-0.0732422
14,0,26.5884,-0.456912,-557.215,42994,67631.2,2291.92,353.149,176.841,0,-0.187683,0.0286865,0.974121,-0.656128,1.07727,-0.0714111
14,1,26.1447,-0.63112,-556.694,42870.5,67457.2,2301.67,352.949,176.991,0,-0.184631,0.0274658,0.973206,-0.654297,1.07422,-0.0717163
14,2,26.0085,-0.541345,-556.695,42970.9,67366,2283.46,352.786,176.811,0,-0.183716,0.0280762,0.973206,-0.655823,1.07269,-0.071106
14,3,25.8775,-0.809138,-556.7,42824,67314.3,2283.92,352.692,177.075,0,-0.1828,0.0262451,0.973206,-0.653687,1.07178,-0.071106
15,0,25.566,-0.624724,-556.528,42754.4,67153.8,2266.07,352.441,177.177,0,-0.180664,0.0274658,0.9729,-0.652466,1.06903,-0.0704956
15,1,25.5656,-0.807491,-557.233,42842.6,66922.2,2257.01,351.872,177.116,0,-0.180664,0.0262451,0.974121,-0.653992,1.06537,-0.0701904
15,2,25.4756,-0.71601,-556.705,42904.7,66905.8,2256.99,351.957,176.931,0,-0.180054,0.0268555,0.973206,-0.654907,1.06506,-0.0701904
15,3,25.3434,-0.667207,-556.181,42829.6,66852.4,2193.75,351.974,176.993,0,-0.179138,0.0271606,0.97229,-0.653687,1.06415,-0.0680542
16,0,25.3447,-0.576689,-556.356,42871.7,66639.5,2211.88,351.553,176.942,0,-0.179138,0.027771,0.972595,-0.654297,1.06079,-0.0686646
16,1,25.5227,-0.759846,-556.531,42960.5,66631.4,2202.67,351.501,176.807,0,-0.180359,0.0265503,0.9729,-0.655823,1.06079,-0.0683594
16,2,25.5734,-0.620092,-556.356,42811.5,66396.2,2166.67,351.116,177.05,0,-0.180664,0.0274658,0.972595,-0.653381,1.05713,-0.0671387
16,3,25.5728,-0.8024,-556.706,42861.5,66378.1,2257.36,351.009,177.009,0,-0.180664,0.0262451,0.973206,-0.654297,1.05682,-0.0701904
17,0,25.6213,-0.618545,-556.356,42811.2,66141.9,2157.73,350.659,177.051,0,-0.180969,0.0274658,0.972595,-0.653381,1.05316,-0.0668335
17,1,25.7099,-0.712199,-557.057,42922.6,66003.8,2230.11,350.262,176.947,0,-0.18158,0.0268555,0.973816,-0.655212,1.05103,-0.0692749
17,2,25.9389,-0.800029,-556.703,42860.8,65837.8,2230.28,350.039,177.01,0,-0.183105,0.0262451,0.973206,-0.654297,1.04858,-0.0692749
17,3,26.163,-0.847673,-557.228,42897.1,65750.9,2230.12,349.771,177.017,0,-0.184631,0.0259399,0.974121,-0.654907,1.04736,-0.0692749
18,0,26.0743,-0.848395,-558.11,42877,65524.1,2248.36,349.179,177.175,0,-0.184021,0.0259399,0.975647,-0.654602,1.0437,-0.0698853
18,1,26.1205,-0.892103,-557.403,42952.6,65462.7,2293.72,349.217,176.942,0,-0.184326,0.0256348,0.974426,-0.655823,1.04279,-0.0714111
18,2,26.3987,-1.15794,-557.051,42767,65178.6,2303.28,348.781,177.226,0,-0.186157,0.0238037,0.973816,-0.653076,1.03851,-0.0717163
18,3,26.1288,-0.751764,-557.756,42745.2,65056.7,2330.43,348.415,177.362,0,-0.184326,0.0265503,0.975037,-0.652466,1.03638,-0.0726318
