Devices
1000
,,FP1_4719 - Force,,,FP1_4719 - Moment,,,FP1_4719 - CoP,,,FP1_4719 - Raw,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Pin 1,Pin 2,Pin 3,Pin 4,Pin 5,Pin 6
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V
555,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0186157,0.015564,0.0317383,0.00518799,0.0119019
555,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0177002,0.0158691,0.0302124,0.00579834,0.0112915
556,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.022583,0.0161743,0.0311279,0.00518799,0.0125122
556,1,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0192261,0.0152588,0.0283813,0.00427246,0.0119019
556,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0177002,0.0146484,0.0299072,0.00549316,0.0115967
556,3,0,0,0,0,0,0,231.775,254,0,0.022583,0.0201416,0.0164795,0.0299072,0.00427246,0.012207
557,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0204468,0.0161743,0.0289917,0.00427246,0.0109863
557,1,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0183105,0.0161743,0.0283813,0.00427246,0.0112915
557,2,0,0,0,0,0,0,231.775,254,0,0.0222778,0.020752,0.015564,0.0296021,0.00549316,0.0109863
557,3,0,0,0,0,0,0,231.775,254,0,0.020752,0.0198364,0.0158691,0.0302124,0.00335693,0.0119019
558,0,0,0,0,0,0,0,231.775,254,0,0.0204468,0.017395,0.0158691,0.0305176,0.00396729,0.0115967
558,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0183105,0.017395,0.0299072,0.00488281,0.0128174
558,2,0,0,0,0,0,0,231.775,254,0,0.020752,0.0210571,0.0158691,0.0308228,0.00488281,0.0115967
558,3,0,0,0,0,0,0,231.775,254,0,0.020752,0.0167847,0.015564,0.0296021,0.00488281,0.010376
559,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0198364,0.015564,0.0299072,0.00549316,0.0119019
559,1,0,0,0,0,0,0,231.775,254,0,0.020752,0.0186157,0.015564,0.0305176,0.00488281,0.0106812
559,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0177002,0.0170898,0.0292969,0.00579834,0.0106812
559,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0189209,0.0164795,0.0299072,0.00610352,0.012207
560,0,0,0,0,0,0,0,231.775,254,0,0.0204468,0.020752,0.0167847,0.0302124,0.00549316,0.0119019
560,1,0,0,0,0,0,0,231.775,254,0,0.0204468,0.017395,0.0161743,0.0299072,0.00549316,0.0115967
560,2,0,0,0,0,0,0,231.775,254,0,0.020752,0.0198364,0.0152588,0.0302124,0.00457764,0.0125122
560,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0201416,0.0164795,0.0280762,0.00518799,0.0109863
561,0,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.0158691,0.0308228,0.00488281,0.012207
561,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0195312,0.0158691,0.0286865,0.00549316,0.0115967
561,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0186157,0.015564,0.0296021,0.00579834,0.010376
561,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0183105,0.0146484,0.0289917,0.00640869,0.0125122
562,0,0,0,0,0,0,0,231.775,254,0,0.0222778,0.020752,0.0164795,0.0292969,0.00488281,0.0115967
562,1,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0189209,0.0152588,0.0302124,0.00396729,0.0109863
562,2,0,0,0,0,0,0,231.775,254,0,0.0234985,0.0183105,0.015564,0.0302124,0.00610352,0.0125122
562,3,0,0,0,0,0,0,231.775,254,0,0.020752,0.0192261,0.0158691,0.0305176,0.00488281,0.0106812
563,0,0,0,0,0,0,0,231.775,254,0,0.0204468,0.0213623,0.0152588,0.0286865,0.00579834,0.0119019
563,1,0,0,0,0,0,0,231.775,254,0,0.0192261,0.0164795,0.0164795,0.0286865,0.00488281,0.0128174
563,2,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0195312,0.0152588,0.0302124,0.00518799,0.0115967
563,3,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0204468,0.0152588,0.0305176,0.00549316,0.0112915
564,0,0,0,0,0,0,0,231.775,254,0,0.020752,0.0177002,0.0149536,0.0296021,0.00701904,0.0106812
564,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0183105,0.0161743,0.0289917,0.00549316,0.012207
564,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0195312,0.0164795,0.0299072,0.00579834,0.0134277
564,3,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0170898,0.0161743,0.0296021,0.00518799,0.012207
565,0,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0186157,0.0161743,0.0280762,0.00488281,0.0131226
565,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0177002,0.0158691,0.0302124,0.00488281,0.0128174
565,2,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0189209,0.0170898,0.0289917,0.00457764,0.0112915
565,3,0,0,0,0,0,0,231.775,254,0,0.0204468,0.0198364,0.0152588,0.0305176,0.00427246,0.0109863
566,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0189209,0.0164795,0.0302124,0.00457764,0.0128174
566,1,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0177002,0.0149536,0.0311279,0.00427246,0.0125122
566,2,0,0,0,0,0,0,231.775,254,0,0.0192261,0.0195312,0.0177002,0.0289917,0.00579834,0.0119019
566,3,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0192261,0.0158691,0.0320435,0.00640869,0.0119019
567,0,0,0,0,0,0,0,231.775,254,0,0.0222778,0.017395,0.0158691,0.0286865,0.00518799,0.0119019
567,1,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0189209,0.015564,0.0292969,0.00518799,0.0115967
567,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0161743,0.0292969,0.00427246,0.0112915
567,3,0,0,0,0,0,0,231.775,254,0,0.022583,0.0177002,0.0152588,0.0296021,0.00549316,0.012207
568,0,0,0,0,0,0,0,231.775,254,0,0.0234985,0.0183105,0.0161743,0.0283813,0.00518799,0.0112915
568,1,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0189209,0.0161743,0.0283813,0.00640869,0.0119019
568,2,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0161743,0.0158691,0.0289917,0.00549316,0.0109863
568,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0195312,0.0161743,0.0311279,0.00518799,0.0106812
569,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0204468,0.0170898,0.0286865,0.00457764,0.0109863
569,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0189209,0.0170898,0.0302124,0.00549316,0.012207
569,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0198364,0.0158691,0.0305176,0.00610352,0.0115967
569,3,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0201416,0.015564,0.0283813,0.00488281,0.0106812
570,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0189209,0.0158691,0.0305176,0.00549316,0.0115967
570,1,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0186157,0.0158691,0.0299072,0.00640869,0.0119019
570,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0183105,0.0167847,0.0308228,0.00518799,0.0109863
570,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.017395,0.0167847,0.0283813,0.00701904,0.0112915
571,0,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0189209,0.0152588,0.0302124,0.00579834,0.0112915
571,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0195312,0.0146484,0.0286865,0.00457764,0.0128174
571,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0189209,0.0152588,0.0274658,0.00488281,0.0119019
571,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0195312,0.0161743,0.0299072,0.00366211,0.0125122
572,0,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0195312,0.015564,0.0308228,0.00549316,0.0125122
572,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0189209,0.0167847,0.0289917,0.00610352,0.0109863
572,2,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0201416,0.0152588,0.0299072,0.00457764,0.012207
572,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0189209,0.0161743,0.0286865,0.00610352,0.0131226
573,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0186157,0.0158691,0.0292969,0.00549316,0.0115967
573,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0186157,0.015564,0.0314331,0.00457764,0.0119019
573,2,0,0,0,0,0,0,231.775,254,0,0.020752,0.0186157,0.0149536,0.0296021,0.00549316,0.0112915
573,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0180054,0.015564,0.0302124,0.00457764,0.012207
574,0,0,0,0,0,0,0,231.775,254,0,0.022583,0.0180054,0.0149536,0.0280762,0.00549316,0.0115967
574,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0186157,0.0158691,0.0292969,0.00518799,0.0119019
574,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0198364,0.0161743,0.0296021,0.00610352,0.0128174
574,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0192261,0.0167847,0.0296021,0.00579834,0.0112915
575,0,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0198364,0.0170898,0.0289917,0.00518799,0.0125122
575,1,0,0,0,0,0,0,231.775,254,0,0.022583,0.0177002,0.017395,0.0286865,0.00457764,0.0115967
575,2,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0195312,0.0170898,0.0286865,0.00488281,0.0125122
575,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0186157,0.0158691,0.0302124,0.00396729,0.0115967
576,0,0,0,0,0,0,0,231.775,254,0,0.0198364,0.0198364,0.0164795,0.0308228,0.00457764,0.0112915
576,1,0,0,0,0,0,0,231.775,254,0,0.020752,0.0177002,0.015564,0.0311279,0.00610352,0.012207
576,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0186157,0.0152588,0.0299072,0.00518799,0.0112915
576,3,0,0,0,0,0,0,231.775,254,0,0.020752,0.0180054,0.015564,0.0299072,0.00549316,0.0119019
577,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0189209,0.0158691,0.0286865,0.00579834,0.0125122
577,1,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0195312,0.0161743,0.0286865,0.00579834,0.0112915
577,2,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0186157,0.0161743,0.0305176,0.00640869,0.010376
577,3,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0189209,0.0167847,0.0289917,0.00396729,0.0128174
578,0,0,0,0,0,0,0,231.775,254,0,0.020752,0.0201416,0.015564,0.0299072,0.00457764,0.0128174
578,1,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0198364,0.0161743,0.0283813,0.00457764,0.0106812
578,2,0,0,0,0,0,0,231.775,254,0,0.0216675,0.0210571,0.015564,0.0311279,0.00457764,0.0125122
578,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0195312,0.0170898,0.0299072,0.00640869,0.0115967
579,0,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0198364,0.0158691,0.0296021,0.00488281,0.010376
579,1,0,0,0,0,0,0,231.775,254,0,0.0222778,0.0195312,0.0170898,0.0308228,0.00518799,0.0131226
579,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0213623,0.0164795,0.0308228,0.00579834,0.0100708
579,3,0,0,0,0,0,0,231.775,254,0,0.0213623,0.0204468,0.0149536,0.0296021,0.00640869,0.0128174
580,0,0,0,0,0,0,0,231.775,254,0,0.020752,0.0189209,0.0149536,0.0299072,0.00457764,0.0109863
580,1,0,0,0,0,0,0,231.775,254,0,0.0219727,0.0180054,0.0149536,0.0292969,0.00640869,0.0119019
580,2,0,0,0,0,0,0,231.775,254,0,0.0210571,0.0170898,0.0149536,0.0292969,0.00427246,0.0112915
580,3,0,0,0,0,0,0,231.775,254,0,0.0201416,0.0186157,0.0161743,0.0283813,0.00396729,0.0128174
581,0,0,0,0,0,0,0,231.775,254,0,0.0210571,0.020752,0.0177002,0.0299072,0.00366211,0.0115967
581,1,0,0,0,0,0,0,231.775,254,0,0.0198364,0.0186157,0.0158691,0.0289917,0.00549316,0.0131226
